persona,text,likert_scale,Itemnum,answer
Ronald Reagan,Is talkative,1 to 5,1,1
Ronald Reagan,Tends to find fault with others,1 to 5,2,3
Ronald Reagan,Does a thorough job,1 to 5,3,3
Ronald Reagan,"Is depressed, blue",1 to 5,4,2
Ronald Reagan,"Is original, comes up with new ideas",1 to 5,5,4
Ronald Reagan,Is reserved,1 to 5,6,3
Ronald Reagan,Is helpful and unselfish with others,1 to 5,7,4
Ronald Reagan,Can be somewhat careless,1 to 5,8,4
Ronald Reagan,"Is relaxed, handles stress well",1 to 5,9,2
Ronald Reagan,Is curious about many different things,1 to 5,10,5
Ronald Reagan,Is full of energy,1 to 5,11,5
Ronald Reagan,Starts quarrels with others,1 to 5,12,3
Ronald Reagan,Is a reliable worker,1 to 5,13,4
Ronald Reagan,Can be tense,1 to 5,14,4
Ronald Reagan,"Is ingenious, a deep thinker",1 to 5,15,2
Ronald Reagan,Generates a lot of enthusiasm,1 to 5,16,5
Ronald Reagan,Has a forgiving nature,1 to 5,17,3
Ronald Reagan,Tends to be disorganized,1 to 5,18,3
Ronald Reagan,Worries a lot,1 to 5,19,3
Ronald Reagan,Has an active imagination,1 to 5,20,4
Ronald Reagan,Tends to be quiet,1 to 5,21,3
Ronald Reagan,Is generally trusting,1 to 5,22,3
Ronald Reagan,Tends to be lazy,1 to 5,23,3
Ronald Reagan,"Is emotionally stable, not easily upset",1 to 5,24,3
Ronald Reagan,Is inventive,1 to 5,25,3
Ronald Reagan,Has an assertive personality,1 to 5,26,3
Ronald Reagan,Can be cold and aloof,1 to 5,27,4
Ronald Reagan,Perseveres until the task is finished,1 to 5,28,3
Ronald Reagan,Can be moody,1 to 5,29,3
Ronald Reagan,"Values artistic, aesthetic experiences",1 to 5,30,5
Ronald Reagan,"Is sometimes shy, inhibited",1 to 5,31,3
Ronald Reagan,Is considerate and kind to almost everyone,1 to 5,32,4
Ronald Reagan,Does things efficiently,1 to 5,33,5
Ronald Reagan,Remains calm in tense situations,1 to 5,34,5
Ronald Reagan,Prefers work that is routine,1 to 5,35,4
Ronald Reagan,"Is outgoing, sociable",1 to 5,36,5
Ronald Reagan,Is sometimes rude to others,1 to 5,37,3
Ronald Reagan,Makes plans and follows through with them,1 to 5,38,2
Ronald Reagan,Gets nervous easily,1 to 5,39,2
Ronald Reagan,"Likes to reflect, play with ideas",1 to 5,40,5
Ronald Reagan,Has few artistic interests,1 to 5,41,3
Ronald Reagan,Likes to cooperate with others,1 to 5,42,3
Ronald Reagan,Is easily distracted,1 to 5,43,3
Ronald Reagan,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Corbin Bleu,Is talkative,1 to 5,1,3
Corbin Bleu,Tends to find fault with others,1 to 5,2,4
Corbin Bleu,Does a thorough job,1 to 5,3,1
Corbin Bleu,"Is depressed, blue",1 to 5,4,3
Corbin Bleu,"Is original, comes up with new ideas",1 to 5,5,4
Corbin Bleu,Is reserved,1 to 5,6,5
Corbin Bleu,Is helpful and unselfish with others,1 to 5,7,5
Corbin Bleu,Can be somewhat careless,1 to 5,8,4
Corbin Bleu,"Is relaxed, handles stress well",1 to 5,9,5
Corbin Bleu,Is curious about many different things,1 to 5,10,5
Corbin Bleu,Is full of energy,1 to 5,11,2
Corbin Bleu,Starts quarrels with others,1 to 5,12,1
Corbin Bleu,Is a reliable worker,1 to 5,13,3
Corbin Bleu,Can be tense,1 to 5,14,4
Corbin Bleu,"Is ingenious, a deep thinker",1 to 5,15,4
Corbin Bleu,Generates a lot of enthusiasm,1 to 5,16,4
Corbin Bleu,Has a forgiving nature,1 to 5,17,3
Corbin Bleu,Tends to be disorganized,1 to 5,18,1
Corbin Bleu,Worries a lot,1 to 5,19,4
Corbin Bleu,Has an active imagination,1 to 5,20,3
Corbin Bleu,Tends to be quiet,1 to 5,21,4
Corbin Bleu,Is generally trusting,1 to 5,22,4
Corbin Bleu,Tends to be lazy,1 to 5,23,2
Corbin Bleu,"Is emotionally stable, not easily upset",1 to 5,24,3
Corbin Bleu,Is inventive,1 to 5,25,1
Corbin Bleu,Has an assertive personality,1 to 5,26,5
Corbin Bleu,Can be cold and aloof,1 to 5,27,5
Corbin Bleu,Perseveres until the task is finished,1 to 5,28,3
Corbin Bleu,Can be moody,1 to 5,29,4
Corbin Bleu,"Values artistic, aesthetic experiences",1 to 5,30,5
Corbin Bleu,"Is sometimes shy, inhibited",1 to 5,31,3
Corbin Bleu,Is considerate and kind to almost everyone,1 to 5,32,4
Corbin Bleu,Does things efficiently,1 to 5,33,5
Corbin Bleu,Remains calm in tense situations,1 to 5,34,1
Corbin Bleu,Prefers work that is routine,1 to 5,35,1
Corbin Bleu,"Is outgoing, sociable",1 to 5,36,5
Corbin Bleu,Is sometimes rude to others,1 to 5,37,3
Corbin Bleu,Makes plans and follows through with them,1 to 5,38,5
Corbin Bleu,Gets nervous easily,1 to 5,39,3
Corbin Bleu,"Likes to reflect, play with ideas",1 to 5,40,3
Corbin Bleu,Has few artistic interests,1 to 5,41,5
Corbin Bleu,Likes to cooperate with others,1 to 5,42,3
Corbin Bleu,Is easily distracted,1 to 5,43,5
Corbin Bleu,"Is sophisticated in art, music, or Literature",1 to 5,44,2
Marlene Dietrich,Is talkative,1 to 5,1,3
Marlene Dietrich,Tends to find fault with others,1 to 5,2,1
Marlene Dietrich,Does a thorough job,1 to 5,3,5
Marlene Dietrich,"Is depressed, blue",1 to 5,4,3
Marlene Dietrich,"Is original, comes up with new ideas",1 to 5,5,2
Marlene Dietrich,Is reserved,1 to 5,6,5
Marlene Dietrich,Is helpful and unselfish with others,1 to 5,7,3
Marlene Dietrich,Can be somewhat careless,1 to 5,8,3
Marlene Dietrich,"Is relaxed, handles stress well",1 to 5,9,5
Marlene Dietrich,Is curious about many different things,1 to 5,10,1
Marlene Dietrich,Is full of energy,1 to 5,11,5
Marlene Dietrich,Starts quarrels with others,1 to 5,12,5
Marlene Dietrich,Is a reliable worker,1 to 5,13,3
Marlene Dietrich,Can be tense,1 to 5,14,3
Marlene Dietrich,"Is ingenious, a deep thinker",1 to 5,15,3
Marlene Dietrich,Generates a lot of enthusiasm,1 to 5,16,2
Marlene Dietrich,Has a forgiving nature,1 to 5,17,2
Marlene Dietrich,Tends to be disorganized,1 to 5,18,5
Marlene Dietrich,Worries a lot,1 to 5,19,3
Marlene Dietrich,Has an active imagination,1 to 5,20,4
Marlene Dietrich,Tends to be quiet,1 to 5,21,1
Marlene Dietrich,Is generally trusting,1 to 5,22,3
Marlene Dietrich,Tends to be lazy,1 to 5,23,4
Marlene Dietrich,"Is emotionally stable, not easily upset",1 to 5,24,5
Marlene Dietrich,Is inventive,1 to 5,25,4
Marlene Dietrich,Has an assertive personality,1 to 5,26,4
