Name,source,Item,ItemNum,Answer
Michael Jackson,Actor,Is talkative,1,1
Michael Jackson,Actor,Tends to find fault with others,2,2
Michael Jackson,Actor,Does a thorough job,3,5
Michael Jackson,Actor,"Is depressed, blue",4,1
Michael Jackson,Actor,"Is original, comes up with new ideas",5,5
Michael Jackson,Actor,Is reserved,6,2
Michael Jackson,Actor,Is helpful and unselfish with others,7,5
Michael Jackson,Actor,Can be somewhat careless,8,2
Michael Jackson,Actor,"Is relaxed, handles stress well",9,3
Michael Jackson,Actor,Is curious about many different things,10,3
Michael Jackson,Actor,Is full of energy,11,5
Michael Jackson,Actor,Starts quarrels with others,12,1
Michael Jackson,Actor,Is a reliable worker,13,5
Michael Jackson,Actor,Can be tense,14,4
Michael Jackson,Actor,"Is ingenious, a deep thinker",15,5
Michael Jackson,Actor,Generates a lot of enthusiasm,16,5
Michael Jackson,Actor,Has a forgiving nature,17,5
Michael Jackson,Actor,Tends to be disorganized,18,2
Michael Jackson,Actor,Worries a lot,19,2
Michael Jackson,Actor,Has an active imagination,20,5
Michael Jackson,Actor,Tends to be quiet,21,4
Michael Jackson,Actor,Is generally trusting,22,2
Michael Jackson,Actor,Tends to be lazy,23,2
Michael Jackson,Actor,"Is emotionally stable, not easily upset",24,4
Michael Jackson,Actor,Is inventive,25,5
Michael Jackson,Actor,Has an assertive personality,26,4
Michael Jackson,Actor,Can be cold and aloof,27,2
Michael Jackson,Actor,Perseveres until the task is finished,28,5
Michael Jackson,Actor,Can be moody,29,5
Michael Jackson,Actor,"Values artistic, aesthetic experiences",30,5
Michael Jackson,Actor,"Is sometimes shy, inhibited",31,3
Michael Jackson,Actor,Is considerate and kind to almost everyone,32,4
Michael Jackson,Actor,Does things efficiently,33,4
Michael Jackson,Actor,Remains calm in tense situations,34,4
Michael Jackson,Actor,Prefers work that is routine,35,2
Michael Jackson,Actor,"Is outgoing, sociable",36,2
Michael Jackson,Actor,Is sometimes rude to others,37,1
Michael Jackson,Actor,Makes plans and follows through with them,38,5
Michael Jackson,Actor,Gets nervous easily,39,3
Michael Jackson,Actor,"Likes to reflect, play with ideas",40,5
Michael Jackson,Actor,Has few artistic interests,41,1
Michael Jackson,Actor,Likes to cooperate with others,42,4
Michael Jackson,Actor,Is easily distracted,43,2
Michael Jackson,Actor,"Is sophisticated in art, music, or Literature",44,5
Donald Trump,Actor,Is talkative,1,5
Donald Trump,Actor,Tends to find fault with others,2,1
Donald Trump,Actor,Does a thorough job,3,5
Donald Trump,Actor,"Is depressed, blue",4,1
Donald Trump,Actor,"Is original, comes up with new ideas",5,5
Donald Trump,Actor,Is reserved,6,1
Donald Trump,Actor,Is helpful and unselfish with others,7,5
Donald Trump,Actor,Can be somewhat careless,8,2
Donald Trump,Actor,"Is relaxed, handles stress well",9,5
Donald Trump,Actor,Is curious about many different things,10,5
Donald Trump,Actor,Is full of energy,11,5
Donald Trump,Actor,Starts quarrels with others,12,1
Donald Trump,Actor,Is a reliable worker,13,5
Donald Trump,Actor,Can be tense,14,1
Donald Trump,Actor,"Is ingenious, a deep thinker",15,5
Donald Trump,Actor,Generates a lot of enthusiasm,16,5
Donald Trump,Actor,Has a forgiving nature,17,1
Donald Trump,Actor,Tends to be disorganized,18,1
Donald Trump,Actor,Worries a lot,19,1
Donald Trump,Actor,Has an active imagination,20,5
Donald Trump,Actor,Tends to be quiet,21,1
Donald Trump,Actor,Is generally trusting,22,1
Donald Trump,Actor,Tends to be lazy,23,1
Donald Trump,Actor,"Is emotionally stable, not easily upset",24,5
Donald Trump,Actor,Is inventive,25,5
Donald Trump,Actor,Has an assertive personality,26,5
Donald Trump,Actor,Can be cold and aloof,27,5
Donald Trump,Actor,Perseveres until the task is finished,28,5
Donald Trump,Actor,Can be moody,29,1
Donald Trump,Actor,"Values artistic, aesthetic experiences",30,1
Donald Trump,Actor,"Is sometimes shy, inhibited",31,1
Donald Trump,Actor,Is considerate and kind to almost everyone,32,5
Donald Trump,Actor,Does things efficiently,33,5
Donald Trump,Actor,Remains calm in tense situations,34,1
Donald Trump,Actor,Prefers work that is routine,35,1
Donald Trump,Actor,"Is outgoing, sociable",36,5
Donald Trump,Actor,Is sometimes rude to others,37,1
Donald Trump,Actor,Makes plans and follows through with them,38,5
Donald Trump,Actor,Gets nervous easily,39,1
Donald Trump,Actor,"Likes to reflect, play with ideas",40,1
Donald Trump,Actor,Has few artistic interests,41,1
Donald Trump,Actor,Likes to cooperate with others,42,1
Donald Trump,Actor,Is easily distracted,43,1
Donald Trump,Actor,"Is sophisticated in art, music, or Literature",44,5
Ronald Reagan,Actor,Is talkative,1,5
Ronald Reagan,Actor,Tends to find fault with others,2,2
Ronald Reagan,Actor,Does a thorough job,3,5
Ronald Reagan,Actor,"Is depressed, blue",4,1
Ronald Reagan,Actor,"Is original, comes up with new ideas",5,4
Ronald Reagan,Actor,Is reserved,6,2
Ronald Reagan,Actor,Is helpful and unselfish with others,7,5
Ronald Reagan,Actor,Can be somewhat careless,8,1
Ronald Reagan,Actor,"Is relaxed, handles stress well",9,5
Ronald Reagan,Actor,Is curious about many different things,10,4
Ronald Reagan,Actor,Is full of energy,11,5
Ronald Reagan,Actor,Starts quarrels with others,12,1
Ronald Reagan,Actor,Is a reliable worker,13,5
Ronald Reagan,Actor,Can be tense,14,2
Ronald Reagan,Actor,"Is ingenious, a deep thinker",15,4
Ronald Reagan,Actor,Generates a lot of enthusiasm,16,5
