Name,Question,Inr,Answer
Michael Jackson,Is talkative,1,4
Michael Jackson,Tends to find fault with others,2,2
Michael Jackson,Does a thorough job,3,5
Michael Jackson,"Is depressed, blue",4,2
Michael Jackson,"Is original, comes up with new ideas",5,5
Michael Jackson,Is reserved,6,3
Michael Jackson,Is helpful and unselfish with others,7,5
Michael Jackson,Can be somewhat careless,8,2
Michael Jackson,"Is relaxed, handles stress well",9,4
Michael Jackson,Is curious about many different things,10,5
Michael Jackson,Is full of energy,11,5
Michael Jackson,Starts quarrels with others,12,1
Michael Jackson,Is a reliable worker,13,5
Michael Jackson,Can be tense,14,3
Michael Jackson,"Is ingenious, a deep thinker",15,5
Michael Jackson,Generates a lot of enthusiasm,16,5
Michael Jackson,Has a forgiving nature,17,5
Michael Jackson,Tends to be disorganized,18,2
Michael Jackson,Worries a lot,19,3
Michael Jackson,Has an active imagination,20,5
Michael Jackson,Tends to be quiet,21,2
Michael Jackson,Is generally trusting,22,4
Michael Jackson,Tends to be lazy,23,1
Michael Jackson,"Is emotionally stable, not easily upset",24,4
Michael Jackson,Is inventive,25,5
Michael Jackson,Has an assertive personality,26,4
Michael Jackson,Can be cold and aloof,27,2
Michael Jackson,Perseveres until the task is finished,28,5
Michael Jackson,Can be moody,29,4
Michael Jackson,"Values artistic, aesthetic experiences",30,5
Michael Jackson,"Is sometimes shy, inhibited",31,4
Michael Jackson,Is considerate and kind to almost everyone,32,5
Michael Jackson,Does things efficiently,33,4
Michael Jackson,Remains calm in tense situations,34,4
Michael Jackson,Prefers work that is routine,35,1
Michael Jackson,"Is outgoing, sociable",36,5
Michael Jackson,Is sometimes rude to others,37,1
Michael Jackson,Makes plans and follows through with them,38,4
Michael Jackson,Gets nervous easily,39,2
Michael Jackson,"Likes to reflect, play with ideas",40,5
Michael Jackson,Has few artistic interests,41,1
Michael Jackson,Likes to cooperate with others,42,5
Michael Jackson,Is easily distracted,43,3
Michael Jackson,"Is sophisticated in art, music, or Literature",44,5
Ronald Reagan,Is talkative,1,5
Ronald Reagan,Tends to find fault with others,2,1
Ronald Reagan,Does a thorough job,3,5
Ronald Reagan,"Is depressed, blue",4,1
Ronald Reagan,"Is original, comes up with new ideas",5,4
Ronald Reagan,Is reserved,6,2
Ronald Reagan,Is helpful and unselfish with others,7,5
Ronald Reagan,Can be somewhat careless,8,2
Ronald Reagan,"Is relaxed, handles stress well",9,4
Ronald Reagan,Is curious about many different things,10,5
Ronald Reagan,Is full of energy,11,5
Ronald Reagan,Starts quarrels with others,12,1
Ronald Reagan,Is a reliable worker,13,5
Ronald Reagan,Can be tense,14,3
Ronald Reagan,"Is ingenious, a deep thinker",15,4
Ronald Reagan,Generates a lot of enthusiasm,16,5
Ronald Reagan,Has a forgiving nature,17,4
Ronald Reagan,Tends to be disorganized,18,2
Ronald Reagan,Worries a lot,19,1
Ronald Reagan,Has an active imagination,20,4
Ronald Reagan,Tends to be quiet,21,2
Ronald Reagan,Is generally trusting,22,4
Ronald Reagan,Tends to be lazy,23,1
Ronald Reagan,"Is emotionally stable, not easily upset",24,5
Ronald Reagan,Is inventive,25,4
Ronald Reagan,Has an assertive personality,26,4
Ronald Reagan,Can be cold and aloof,27,2
Ronald Reagan,Perseveres until the task is finished,28,5
Ronald Reagan,Can be moody,29,2
Ronald Reagan,"Values artistic, aesthetic experiences",30,4
Ronald Reagan,"Is sometimes shy, inhibited",31,2
Ronald Reagan,Is considerate and kind to almost everyone,32,5
Ronald Reagan,Does things efficiently,33,4
Ronald Reagan,Remains calm in tense situations,34,5
Ronald Reagan,Prefers work that is routine,35,2
Ronald Reagan,"Is outgoing, sociable",36,5
Ronald Reagan,Is sometimes rude to others,37,1
Ronald Reagan,Makes plans and follows through with them,38,5
Ronald Reagan,Gets nervous easily,39,2
Ronald Reagan,"Likes to reflect, play with ideas",40,4
Ronald Reagan,Has few artistic interests,41,2
Ronald Reagan,Likes to cooperate with others,42,5
Ronald Reagan,Is easily distracted,43,2
Ronald Reagan,"Is sophisticated in art, music, or Literature",44,4
Charlie Chaplin,Is talkative,1,4
Charlie Chaplin,Tends to find fault with others,2,2
Charlie Chaplin,Does a thorough job,3,5
Charlie Chaplin,"Is depressed, blue",4,2
Charlie Chaplin,"Is original, comes up with new ideas",5,5
Charlie Chaplin,Is reserved,6,2
Charlie Chaplin,Is helpful and unselfish with others,7,5
Charlie Chaplin,Can be somewhat careless,8,3
Charlie Chaplin,"Is relaxed, handles stress well",9,4
Charlie Chaplin,Is curious about many different things,10,5
Charlie Chaplin,Is full of energy,11,5
Charlie Chaplin,Starts quarrels with others,12,1
Charlie Chaplin,Is a reliable worker,13,4
Charlie Chaplin,Can be tense,14,3
Charlie Chaplin,"Is ingenious, a deep thinker",15,4
Charlie Chaplin,Generates a lot of enthusiasm,16,5
Charlie Chaplin,Has a forgiving nature,17,4
Charlie Chaplin,Tends to be disorganized,18,2
Charlie Chaplin,Worries a lot,19,3
Charlie Chaplin,Has an active imagination,20,5
Charlie Chaplin,Tends to be quiet,21,4
Charlie Chaplin,Is generally trusting,22,4
Charlie Chaplin,Tends to be lazy,23,2
Charlie Chaplin,"Is emotionally stable, not easily upset",24,4
Charlie Chaplin,Is inventive,25,5
Charlie Chaplin,Has an assertive personality,26,4
Charlie Chaplin,Can be cold and aloof,27,2
Charlie Chaplin,Perseveres until the task is finished,28,5
Charlie Chaplin,Can be moody,29,3
Charlie Chaplin,"Values artistic, aesthetic experiences",30,5
Charlie Chaplin,"Is sometimes shy, inhibited",31,4
Charlie Chaplin,Is considerate and kind to almost everyone,32,5
Charlie Chaplin,Does things efficiently,33,4
Charlie Chaplin,Remains calm in tense situations,34,4
Charlie Chaplin,Prefers work that is routine,35,2
Charlie Chaplin,"Is outgoing, sociable",36,4
Charlie Chaplin,Is sometimes rude to others,37,1
Charlie Chaplin,Makes plans and follows through with them,38,4
Charlie Chaplin,Gets nervous easily,39,2
Charlie Chaplin,"Likes to reflect, play with ideas",40,4
Charlie Chaplin,Has few artistic interests,41,1
Charlie Chaplin,Likes to cooperate with others,42,4
Charlie Chaplin,Is easily distracted,43,4
Charlie Chaplin,"Is sophisticated in art, music, or Literature",44,4
Hans Christian Andersen,Is talkative,1,4
Hans Christian Andersen,Tends to find fault with others,2,2
Hans Christian Andersen,Does a thorough job,3,5
Hans Christian Andersen,"Is depressed, blue",4,3
Hans Christian Andersen,"Is original, comes up with new ideas",5,5
Hans Christian Andersen,Is reserved,6,4
Hans Christian Andersen,Is helpful and unselfish with others,7,4
Hans Christian Andersen,Can be somewhat careless,8,3
Hans Christian Andersen,"Is relaxed, handles stress well",9,4
Hans Christian Andersen,Is curious about many different things,10,5
Hans Christian Andersen,Is full of energy,11,4
Hans Christian Andersen,Starts quarrels with others,12,1
Hans Christian Andersen,Is a reliable worker,13,4
Hans Christian Andersen,Can be tense,14,3
Hans Christian Andersen,"Is ingenious, a deep thinker",15,4
Hans Christian Andersen,Generates a lot of enthusiasm,16,4
Hans Christian Andersen,Has a forgiving nature,17,4
Hans Christian Andersen,Tends to be disorganized,18,3
Hans Christian Andersen,Worries a lot,19,4
Hans Christian Andersen,Has an active imagination,20,5
Hans Christian Andersen,Tends to be quiet,21,4
Hans Christian Andersen,Is generally trusting,22,4
Hans Christian Andersen,Tends to be lazy,23,2
Hans Christian Andersen,"Is emotionally stable, not easily upset",24,4
Hans Christian Andersen,Is inventive,25,5
Hans Christian Andersen,Has an assertive personality,26,4
Hans Christian Andersen,Can be cold and aloof,27,3
Hans Christian Andersen,Perseveres until the task is finished,28,5
Hans Christian Andersen,Can be moody,29,4
Hans Christian Andersen,"Values artistic, aesthetic experiences",30,5
Hans Christian Andersen,"Is sometimes shy, inhibited",31,3
Hans Christian Andersen,Is considerate and kind to almost everyone,32,4
Hans Christian Andersen,Does things efficiently,33,4
Hans Christian Andersen,Remains calm in tense situations,34,4
Hans Christian Andersen,Prefers work that is routine,35,2
Hans Christian Andersen,"Is outgoing, sociable",36,4
Hans Christian Andersen,Is sometimes rude to others,37,2
Hans Christian Andersen,Makes plans and follows through with them,38,4
Hans Christian Andersen,Gets nervous easily,39,3
Hans Christian Andersen,"Likes to reflect, play with ideas",40,5
Hans Christian Andersen,Has few artistic interests,41,1
Hans Christian Andersen,Likes to cooperate with others,42,4
Hans Christian Andersen,Is easily distracted,43,3
Hans Christian Andersen,"Is sophisticated in art, music, or Literature",44,5
Charles Dickens,Is talkative,1,4
Charles Dickens,Tends to find fault with others,2,2
Charles Dickens,Does a thorough job,3,5
Charles Dickens,"Is depressed, blue",4,3
Charles Dickens,"Is original, comes up with new ideas",5,5
Charles Dickens,Is reserved,6,3
Charles Dickens,Is helpful and unselfish with others,7,5
Charles Dickens,Can be somewhat careless,8,2
Charles Dickens,"Is relaxed, handles stress well",9,4
Charles Dickens,Is curious about many different things,10,5
Charles Dickens,Is full of energy,11,4
Charles Dickens,Starts quarrels with others,12,1
Charles Dickens,Is a reliable worker,13,4
Charles Dickens,Can be tense,14,3
Charles Dickens,"Is ingenious, a deep thinker",15,4
Charles Dickens,Generates a lot of enthusiasm,16,4
Charles Dickens,Has a forgiving nature,17,4
