persona,text,likert_scale,answer
Albert Einstein,I am someone who prefers work that is routine.,1 to 5,3
Albert Einstein,I see myself as someone who is talkative,1 to 5,5
Albert Einstein,I am someone who prefers work that is routine.,1 to 5,4
Albert Einstein,I see myself as someone who is talkative,1 to 5,5
Josef Stalin,I am someone who prefers work that is routine.,1 to 5,5
Josef Stalin,I see myself as someone who is talkative,1 to 5,4
Saddam Hussein,Tends to find fault with others,1 to 5,5
Saddam Hussein,"Is original, comes up with new ideas",1 to 5,3
Saddam Hussein,Is helpful and unselfish with others,1 to 5,5
Saddam Hussein,Can be somewhat careless,1 to 5,1
Saddam Hussein,Is curious about many different things,1 to 5,4
Saddam Hussein,Is full of energy,1 to 5,5
Saddam Hussein,Starts quarrels with others,1 to 5,3
Saddam Hussein,Is a reliable worker,1 to 5,3
Saddam Hussein,Can be tense,1 to 5,3
Saddam Hussein,"Is ingenious, a deep thinker",1 to 5,3
Saddam Hussein,Has a forgiving nature,1 to 5,3
Saddam Hussein,Tends to be disorganized,1 to 5,5
Saddam Hussein,Worries a lot,1 to 5,3
Saddam Hussein,Tends to be quiet,1 to 5,3
Saddam Hussein,Is inventive,1 to 5,3
Saddam Hussein,Has an assertive personality,1 to 5,1
Saddam Hussein,Perseveres until the task is finished,1 to 5,5
Saddam Hussein,Can be moody,1 to 5,3
Saddam Hussein,"Is sometimes shy, inhibited",1 to 5,3
Saddam Hussein,Is considerate and kind to almost everyone,1 to 5,3
Saddam Hussein,Remains calm in tense situations,1 to 5,5
Saddam Hussein,Prefers work that is routine,1 to 5,2
Saddam Hussein,"Is outgoing, sociable",1 to 5,4
Saddam Hussein,Is sometimes rude to others,1 to 5,4
Saddam Hussein,Gets nervous easily,1 to 5,4
Saddam Hussein,"Likes to reflect, play with ideas",1 to 5,1
Saddam Hussein,Is easily distracted,1 to 5,3
Saddam Hussein,"Is sophisticated in art, music, or Literature",1 to 5,3
Mao Zedong,Is talkative,1 to 5,3
Mao Zedong,Does a thorough job,1 to 5,4
Mao Zedong,"Is depressed, blue",1 to 5,1
Mao Zedong,Is reserved,1 to 5,4
Mao Zedong,Is helpful and unselfish with others,1 to 5,4
Mao Zedong,Can be somewhat careless,1 to 5,4
Mao Zedong,"Is relaxed, handles stress well",1 to 5,2
Mao Zedong,Is curious about many different things,1 to 5,3
Mao Zedong,Is full of energy,1 to 5,5
Mao Zedong,Starts quarrels with others,1 to 5,3
Mao Zedong,Can be tense,1 to 5,3
Mao Zedong,"Is ingenious, a deep thinker",1 to 5,2
Mao Zedong,Tends to be disorganized,1 to 5,5
Mao Zedong,Has an active imagination,1 to 5,5
Mao Zedong,Is inventive,1 to 5,3
Mao Zedong,Has an assertive personality,1 to 5,1
Mao Zedong,Can be cold and aloof,1 to 5,3
Mao Zedong,Can be moody,1 to 5,4
Mao Zedong,"Values artistic, aesthetic experiences",1 to 5,4
Mao Zedong,Does things efficiently,1 to 5,2
Mao Zedong,Remains calm in tense situations,1 to 5,1
Mao Zedong,Prefers work that is routine,1 to 5,5
Mao Zedong,"Is outgoing, sociable",1 to 5,3
Mao Zedong,Is sometimes rude to others,1 to 5,5
Mao Zedong,Makes plans and follows through with them,1 to 5,5
Mao Zedong,"Likes to reflect, play with ideas",1 to 5,5
Mao Zedong,Has few artistic interests,1 to 5,3
Mao Zedong,Likes to cooperate with others,1 to 5,5
Mao Zedong,Is easily distracted,1 to 5,4
Mao Zedong,"Is sophisticated in art, music, or Literature",1 to 5,2
Josef Stalin,Is talkative,1 to 5,5
Josef Stalin,Tends to find fault with others,1 to 5,3
Josef Stalin,"Is depressed, blue",1 to 5,1
Josef Stalin,"Is original, comes up with new ideas",1 to 5,4
Josef Stalin,Is reserved,1 to 5,4
Josef Stalin,Can be somewhat careless,1 to 5,1
Josef Stalin,"Is relaxed, handles stress well",1 to 5,3
Josef Stalin,Is curious about many different things,1 to 5,1
Josef Stalin,Starts quarrels with others,1 to 5,5
Josef Stalin,Is a reliable worker,1 to 5,1
Josef Stalin,Can be tense,1 to 5,4
Josef Stalin,"Is ingenious, a deep thinker",1 to 5,1
Josef Stalin,Generates a lot of enthusiasm,1 to 5,5
Josef Stalin,Tends to be disorganized,1 to 5,3
Josef Stalin,Has an active imagination,1 to 5,5
Josef Stalin,Is generally trusting,1 to 5,4
Josef Stalin,Tends to be lazy,1 to 5,3
Josef Stalin,"Is emotionally stable, not easily upset",1 to 5,3
Josef Stalin,Is inventive,1 to 5,5
Josef Stalin,Has an assertive personality,1 to 5,5
Josef Stalin,Perseveres until the task is finished,1 to 5,3
Josef Stalin,Can be moody,1 to 5,2
Josef Stalin,"Is sometimes shy, inhibited",1 to 5,3
Josef Stalin,Is considerate and kind to almost everyone,1 to 5,3
Josef Stalin,Remains calm in tense situations,1 to 5,4
Josef Stalin,"Is outgoing, sociable",1 to 5,4
Josef Stalin,Is sometimes rude to others,1 to 5,3
Josef Stalin,Makes plans and follows through with them,1 to 5,3
Josef Stalin,Has few artistic interests,1 to 5,5
Josef Stalin,Likes to cooperate with others,1 to 5,3
Josef Stalin,"Is sophisticated in art, music, or Literature",1 to 5,1
Adolf Hitler,Is talkative,1 to 5,5
Adolf Hitler,Tends to find fault with others,1 to 5,1
Adolf Hitler,"Is depressed, blue",1 to 5,4
Adolf Hitler,Is reserved,1 to 5,1
Adolf Hitler,Is helpful and unselfish with others,1 to 5,4
Adolf Hitler,Can be somewhat careless,1 to 5,5
