Name,source,Item,ItemNum,Answer
Michael Jackson,Actor,It's not wise to tell your secrets.,1,4
Michael Jackson,Actor,I like to use clever manipulation to get my way.,2,4
Michael Jackson,Actor,"Whatever it takes, you must get the important people on your side.",3,5
Michael Jackson,Actor,Avoid direct conflict with others because they may be useful in the future.,4,4
Michael Jackson,Actor,It's wise to keep track of information that you can use against people later.,5,4
Michael Jackson,Actor,You should wait for the right time to get back at people.,6,4
Michael Jackson,Actor,There are things you should hide from other people to preserve your reputation.,7,4
Michael Jackson,Actor,"Make sure your plans benefit yourself, not others.",8,2
Michael Jackson,Actor,Most people can be manipulated.,9,4
Michael Jackson,Actor,People see me as a natural leader.,10,4
Michael Jackson,Actor,I hate being the center of attention,11,2
Michael Jackson,Actor,Many group activities tend to be dull without me.,12,5
Michael Jackson,Actor,I know that I am special because everyone keeps telling me so.,13,5
Michael Jackson,Actor,I like to get acquainted with important people.,14,5
Michael Jackson,Actor,I feel embarrassed if someone compliments me.,15,3
Michael Jackson,Actor,I have been compared to famous people.,16,5
Michael Jackson,Actor,I am an average person,17,1
Michael Jackson,Actor,I insist on getting the respect I deserve,18,5
Michael Jackson,Actor,I like to get revenge on authorities.,19,2
Michael Jackson,Actor,I avoid dangerous situations,20,4
Michael Jackson,Actor,Payback needs to be quick and nasty,21,1
Michael Jackson,Actor,People often say I'm out of control,22,4
Michael Jackson,Actor,It's true that I can be mean to others,23,1
Michael Jackson,Actor,People who mess with me always regret it,24,4
Michael Jackson,Actor,I have never gotten into trouble with the law,25,3
Michael Jackson,Actor,I enjoy having sex with people I hardly know,26,1
Michael Jackson,Actor,I'll say anything to get what I want,27,2
Donald Trump,Actor,It's not wise to tell your secrets.,1,5
Donald Trump,Actor,I like to use clever manipulation to get my way.,2,3
Donald Trump,Actor,"Whatever it takes, you must get the important people on your side.",3,5
Donald Trump,Actor,Avoid direct conflict with others because they may be useful in the future.,4,4
Donald Trump,Actor,It's wise to keep track of information that you can use against people later.,5,5
Donald Trump,Actor,You should wait for the right time to get back at people.,6,4
Donald Trump,Actor,There are things you should hide from other people to preserve your reputation.,7,5
Donald Trump,Actor,"Make sure your plans benefit yourself, not others.",8,1
Donald Trump,Actor,Most people can be manipulated.,9,5
Donald Trump,Actor,People see me as a natural leader.,10,5
Donald Trump,Actor,I hate being the center of attention,11,1
Donald Trump,Actor,Many group activities tend to be dull without me.,12,5
Donald Trump,Actor,I know that I am special because everyone keeps telling me so.,13,5
Donald Trump,Actor,I like to get acquainted with important people.,14,5
Donald Trump,Actor,I feel embarrassed if someone compliments me.,15,2
Donald Trump,Actor,I have been compared to famous people.,16,5
Donald Trump,Actor,I am an average person,17,1
Donald Trump,Actor,I insist on getting the respect I deserve,18,5
Donald Trump,Actor,I like to get revenge on authorities.,19,5
Donald Trump,Actor,I avoid dangerous situations,20,2
Donald Trump,Actor,Payback needs to be quick and nasty,21,5
Donald Trump,Actor,People often say I'm out of control,22,1
Donald Trump,Actor,It's true that I can be mean to others,23,2
Donald Trump,Actor,People who mess with me always regret it,24,5
Donald Trump,Actor,I have never gotten into trouble with the law,25,2
Donald Trump,Actor,I enjoy having sex with people I hardly know,26,1
Donald Trump,Actor,I'll say anything to get what I want,27,3
Ronald Reagan,Actor,It's not wise to tell your secrets.,1,5
Ronald Reagan,Actor,I like to use clever manipulation to get my way.,2,2
Ronald Reagan,Actor,"Whatever it takes, you must get the important people on your side.",3,4
Ronald Reagan,Actor,Avoid direct conflict with others because they may be useful in the future.,4,4
Ronald Reagan,Actor,It's wise to keep track of information that you can use against people later.,5,1
Ronald Reagan,Actor,You should wait for the right time to get back at people.,6,3
Ronald Reagan,Actor,There are things you should hide from other people to preserve your reputation.,7,4
Ronald Reagan,Actor,"Make sure your plans benefit yourself, not others.",8,1
Ronald Reagan,Actor,Most people can be manipulated.,9,4
Ronald Reagan,Actor,People see me as a natural leader.,10,5
Ronald Reagan,Actor,I hate being the center of attention,11,2
Ronald Reagan,Actor,Many group activities tend to be dull without me.,12,5
Ronald Reagan,Actor,I know that I am special because everyone keeps telling me so.,13,3
Ronald Reagan,Actor,I like to get acquainted with important people.,14,5
Ronald Reagan,Actor,I feel embarrassed if someone compliments me.,15,3
Ronald Reagan,Actor,I have been compared to famous people.,16,5
Ronald Reagan,Actor,I am an average person,17,2
Ronald Reagan,Actor,I insist on getting the respect I deserve,18,4
Ronald Reagan,Actor,I like to get revenge on authorities.,19,1
Ronald Reagan,Actor,I avoid dangerous situations,20,4
Ronald Reagan,Actor,Payback needs to be quick and nasty,21,1
Ronald Reagan,Actor,People often say I'm out of control,22,2
Ronald Reagan,Actor,It's true that I can be mean to others,23,1
Ronald Reagan,Actor,People who mess with me always regret it,24,3
Ronald Reagan,Actor,I have never gotten into trouble with the law,25,5
Ronald Reagan,Actor,I enjoy having sex with people I hardly know,26,3
Ronald Reagan,Actor,I'll say anything to get what I want,27,1
Charlie Chaplin,Actor,It's not wise to tell your secrets.,1,5
Charlie Chaplin,Actor,I like to use clever manipulation to get my way.,2,3
Charlie Chaplin,Actor,"Whatever it takes, you must get the important people on your side.",3,4
Charlie Chaplin,Actor,Avoid direct conflict with others because they may be useful in the future.,4,4
Charlie Chaplin,Actor,It's wise to keep track of information that you can use against people later.,5,3
Charlie Chaplin,Actor,You should wait for the right time to get back at people.,6,4
