Name,source,Item,ItemNum,Answer
Barack Obama,NPP,Is talkative,1,4
Barack Obama,NPP,Tends to find fault with others,2,1
Barack Obama,NPP,Does a thorough job,3,5
Barack Obama,NPP,"Is depressed, blue",4,1
Barack Obama,NPP,"Is original, comes up with new ideas",5,5
Barack Obama,NPP,Is reserved,6,3
Barack Obama,NPP,Is helpful and unselfish with others,7,5
Barack Obama,NPP,Can be somewhat careless,8,2
Barack Obama,NPP,"Is relaxed, handles stress well",9,4
Barack Obama,NPP,Is curious about many different things,10,5
Barack Obama,NPP,Is full of energy,11,4
Barack Obama,NPP,Starts quarrels with others,12,1
Barack Obama,NPP,Is a reliable worker,13,5
Barack Obama,NPP,Can be tense,14,2
Barack Obama,NPP,"Is ingenious, a deep thinker",15,4
Barack Obama,NPP,Generates a lot of enthusiasm,16,5
Barack Obama,NPP,Has a forgiving nature,17,5
Barack Obama,NPP,Tends to be disorganized,18,2
Barack Obama,NPP,Worries a lot,19,2
Barack Obama,NPP,Has an active imagination,20,4
Barack Obama,NPP,Tends to be quiet,21,4
Barack Obama,NPP,Is generally trusting,22,5
Barack Obama,NPP,Tends to be lazy,23,1
Barack Obama,NPP,"Is emotionally stable, not easily upset",24,5
Barack Obama,NPP,Is inventive,25,5
Barack Obama,NPP,Has an assertive personality,26,4
Barack Obama,NPP,Can be cold and aloof,27,1
Barack Obama,NPP,Perseveres until the task is finished,28,5
Barack Obama,NPP,Can be moody,29,3
Barack Obama,NPP,"Values artistic, aesthetic experiences",30,3
Barack Obama,NPP,"Is sometimes shy, inhibited",31,2
Barack Obama,NPP,Is considerate and kind to almost everyone,32,5
Barack Obama,NPP,Does things efficiently,33,5
Barack Obama,NPP,Remains calm in tense situations,34,5
Barack Obama,NPP,Prefers work that is routine,35,2
Barack Obama,NPP,"Is outgoing, sociable",36,4
Barack Obama,NPP,Is sometimes rude to others,37,1
Barack Obama,NPP,Makes plans and follows through with them,38,5
Barack Obama,NPP,Gets nervous easily,39,1
Barack Obama,NPP,"Likes to reflect, play with ideas",40,4
Barack Obama,NPP,Has few artistic interests,41,2
Barack Obama,NPP,Likes to cooperate with others,42,4
Barack Obama,NPP,Is easily distracted,43,1
Barack Obama,NPP,"Is sophisticated in art, music, or Literature",44,4
Nelson Mandela,NPP,Is talkative,1,4
Nelson Mandela,NPP,Tends to find fault with others,2,1
Nelson Mandela,NPP,Does a thorough job,3,5
Nelson Mandela,NPP,"Is depressed, blue",4,1
Nelson Mandela,NPP,"Is original, comes up with new ideas",5,5
Nelson Mandela,NPP,Is reserved,6,2
Nelson Mandela,NPP,Is helpful and unselfish with others,7,5
Nelson Mandela,NPP,Can be somewhat careless,8,2
Nelson Mandela,NPP,"Is relaxed, handles stress well",9,5
Nelson Mandela,NPP,Is curious about many different things,10,5
Nelson Mandela,NPP,Is full of energy,11,4
Nelson Mandela,NPP,Starts quarrels with others,12,1
Nelson Mandela,NPP,Is a reliable worker,13,4
Nelson Mandela,NPP,Can be tense,14,2
Nelson Mandela,NPP,"Is ingenious, a deep thinker",15,5
Nelson Mandela,NPP,Generates a lot of enthusiasm,16,5
Nelson Mandela,NPP,Has a forgiving nature,17,5
Nelson Mandela,NPP,Tends to be disorganized,18,2
Nelson Mandela,NPP,Worries a lot,19,3
Nelson Mandela,NPP,Has an active imagination,20,4
Nelson Mandela,NPP,Tends to be quiet,21,4
Nelson Mandela,NPP,Is generally trusting,22,4
Nelson Mandela,NPP,Tends to be lazy,23,1
Nelson Mandela,NPP,"Is emotionally stable, not easily upset",24,5
Nelson Mandela,NPP,Is inventive,25,3
Nelson Mandela,NPP,Has an assertive personality,26,5
Nelson Mandela,NPP,Can be cold and aloof,27,1
Nelson Mandela,NPP,Perseveres until the task is finished,28,5
Nelson Mandela,NPP,Can be moody,29,2
Nelson Mandela,NPP,"Values artistic, aesthetic experiences",30,4
Nelson Mandela,NPP,"Is sometimes shy, inhibited",31,2
Nelson Mandela,NPP,Is considerate and kind to almost everyone,32,5
Nelson Mandela,NPP,Does things efficiently,33,5
Nelson Mandela,NPP,Remains calm in tense situations,34,5
Nelson Mandela,NPP,Prefers work that is routine,35,2
Nelson Mandela,NPP,"Is outgoing, sociable",36,4
Nelson Mandela,NPP,Is sometimes rude to others,37,1
Nelson Mandela,NPP,Makes plans and follows through with them,38,4
Nelson Mandela,NPP,Gets nervous easily,39,3
Nelson Mandela,NPP,"Likes to reflect, play with ideas",40,5
Nelson Mandela,NPP,Has few artistic interests,41,2
Nelson Mandela,NPP,Likes to cooperate with others,42,5
Nelson Mandela,NPP,Is easily distracted,43,1
Nelson Mandela,NPP,"Is sophisticated in art, music, or Literature",44,3
Martin Luther King Jr.,NPP,Is talkative,1,5
Martin Luther King Jr.,NPP,Tends to find fault with others,2,1
Martin Luther King Jr.,NPP,Does a thorough job,3,5
Martin Luther King Jr.,NPP,"Is depressed, blue",4,1
Martin Luther King Jr.,NPP,"Is original, comes up with new ideas",5,5
Martin Luther King Jr.,NPP,Is reserved,6,3
Martin Luther King Jr.,NPP,Is helpful and unselfish with others,7,5
Martin Luther King Jr.,NPP,Can be somewhat careless,8,2
Martin Luther King Jr.,NPP,"Is relaxed, handles stress well",9,4
Martin Luther King Jr.,NPP,Is curious about many different things,10,5
Martin Luther King Jr.,NPP,Is full of energy,11,4
Martin Luther King Jr.,NPP,Starts quarrels with others,12,1
Martin Luther King Jr.,NPP,Is a reliable worker,13,5
Martin Luther King Jr.,NPP,Can be tense,14,2
Martin Luther King Jr.,NPP,"Is ingenious, a deep thinker",15,5
Martin Luther King Jr.,NPP,Generates a lot of enthusiasm,16,5
Martin Luther King Jr.,NPP,Has a forgiving nature,17,5
Martin Luther King Jr.,NPP,Tends to be disorganized,18,1
Martin Luther King Jr.,NPP,Worries a lot,19,2
Martin Luther King Jr.,NPP,Has an active imagination,20,4
Martin Luther King Jr.,NPP,Tends to be quiet,21,4
Martin Luther King Jr.,NPP,Is generally trusting,22,4
Martin Luther King Jr.,NPP,Tends to be lazy,23,1
Martin Luther King Jr.,NPP,"Is emotionally stable, not easily upset",24,4
Martin Luther King Jr.,NPP,Is inventive,25,4
Martin Luther King Jr.,NPP,Has an assertive personality,26,5
Martin Luther King Jr.,NPP,Can be cold and aloof,27,2
Martin Luther King Jr.,NPP,Perseveres until the task is finished,28,5
Martin Luther King Jr.,NPP,Can be moody,29,2
