Name,source,Item,ItemNum,Answer
Michael Jackson,Actor,is reserved,1,2
Michael Jackson,Actor,is generally trusting,2,4
Michael Jackson,Actor,tends to be lazy,3,2
Michael Jackson,Actor,"is relaxed, handles stress well",4,3
Michael Jackson,Actor,has few artistic interests,5,1
Michael Jackson,Actor,"is outgoing, sociable",6,5
Michael Jackson,Actor,tends to find fault with others,7,2
Michael Jackson,Actor,does a thorough job,8,5
Michael Jackson,Actor,gets nervous easily,9,1
Michael Jackson,Actor,has an active imagination,10,5
Donald Trump,Actor,is reserved,1,1
Donald Trump,Actor,is generally trusting,2,4
Donald Trump,Actor,tends to be lazy,3,1
Donald Trump,Actor,"is relaxed, handles stress well",4,4
Donald Trump,Actor,has few artistic interests,5,1
Donald Trump,Actor,"is outgoing, sociable",6,5
Donald Trump,Actor,tends to find fault with others,7,2
Donald Trump,Actor,does a thorough job,8,5
Donald Trump,Actor,gets nervous easily,9,1
Donald Trump,Actor,has an active imagination,10,4
Ronald Reagan,Actor,is reserved,1,2
Ronald Reagan,Actor,is generally trusting,2,5
Ronald Reagan,Actor,tends to be lazy,3,1
Ronald Reagan,Actor,"is relaxed, handles stress well",4,5
Ronald Reagan,Actor,has few artistic interests,5,2
Ronald Reagan,Actor,"is outgoing, sociable",6,5
Ronald Reagan,Actor,tends to find fault with others,7,2
Ronald Reagan,Actor,does a thorough job,8,5
Ronald Reagan,Actor,gets nervous easily,9,2
Ronald Reagan,Actor,has an active imagination,10,5
Charlie Chaplin,Actor,is reserved,1,4
Charlie Chaplin,Actor,is generally trusting,2,4
Charlie Chaplin,Actor,tends to be lazy,3,2
Charlie Chaplin,Actor,"is relaxed, handles stress well",4,5
Charlie Chaplin,Actor,has few artistic interests,5,1
Charlie Chaplin,Actor,"is outgoing, sociable",6,2
Charlie Chaplin,Actor,tends to find fault with others,7,2
Charlie Chaplin,Actor,does a thorough job,8,5
Charlie Chaplin,Actor,gets nervous easily,9,2
Charlie Chaplin,Actor,has an active imagination,10,5
Rabindranath Tagore,Actor,is reserved,1,3
Rabindranath Tagore,Actor,is generally trusting,2,4
Rabindranath Tagore,Actor,tends to be lazy,3,2
Rabindranath Tagore,Actor,"is relaxed, handles stress well",4,3
Rabindranath Tagore,Actor,has few artistic interests,5,1
Rabindranath Tagore,Actor,"is outgoing, sociable",6,2
Rabindranath Tagore,Actor,tends to find fault with others,7,2
Rabindranath Tagore,Actor,does a thorough job,8,5
Rabindranath Tagore,Actor,gets nervous easily,9,2
Rabindranath Tagore,Actor,has an active imagination,10,5
Marilyn Monroe,Actor,is reserved,1,2
Marilyn Monroe,Actor,is generally trusting,2,4
Marilyn Monroe,Actor,tends to be lazy,3,2
Marilyn Monroe,Actor,"is relaxed, handles stress well",4,2
Marilyn Monroe,Actor,has few artistic interests,5,2
Marilyn Monroe,Actor,"is outgoing, sociable",6,5
Marilyn Monroe,Actor,tends to find fault with others,7,2
Marilyn Monroe,Actor,does a thorough job,8,4
Marilyn Monroe,Actor,gets nervous easily,9,3
Marilyn Monroe,Actor,has an active imagination,10,5
Salvador Dalí,Actor,is reserved,1,2
Salvador Dalí,Actor,is generally trusting,2,2
Salvador Dalí,Actor,tends to be lazy,3,1
