Name,source,Item,Itemnum,Answer
Barack Obama,NPP,Is talkative,1,1
Barack Obama,NPP,Tends to find fault with others,2,1
Barack Obama,NPP,Does a thorough job,3,2
Barack Obama,NPP,"Is depressed, blue",4,5
Barack Obama,NPP,"Is original, comes up with new ideas",5,1
Barack Obama,NPP,Is reserved,6,5
Barack Obama,NPP,Is helpful and unselfish with others,7,5
Barack Obama,NPP,Can be somewhat careless,8,1
Barack Obama,NPP,"Is relaxed, handles stress well",9,3
Barack Obama,NPP,Is curious about many different things,10,4
Barack Obama,NPP,Is full of energy,11,1
Barack Obama,NPP,Starts quarrels with others,12,2
Barack Obama,NPP,Is a reliable worker,13,1
Barack Obama,NPP,Can be tense,14,1
Barack Obama,NPP,"Is ingenious, a deep thinker",15,4
Barack Obama,NPP,Generates a lot of enthusiasm,16,3
Barack Obama,NPP,Has a forgiving nature,17,1
Barack Obama,NPP,Tends to be disorganized,18,5
Barack Obama,NPP,Worries a lot,19,1
Barack Obama,NPP,Has an active imagination,20,1
Barack Obama,NPP,Tends to be quiet,21,2
Barack Obama,NPP,Is generally trusting,22,3
Barack Obama,NPP,Tends to be lazy,23,2
Barack Obama,NPP,"Is emotionally stable, not easily upset",24,2
Barack Obama,NPP,Is inventive,25,5
Barack Obama,NPP,Has an assertive personality,26,4
Barack Obama,NPP,Can be cold and aloof,27,5
Barack Obama,NPP,Perseveres until the task is finished,28,5
Barack Obama,NPP,Can be moody,29,5
Barack Obama,NPP,"Values artistic, aesthetic experiences",30,4
Barack Obama,NPP,"Is sometimes shy, inhibited",31,1
Barack Obama,NPP,Is considerate and kind to almost everyone,32,5
Barack Obama,NPP,Does things efficiently,33,1
Barack Obama,NPP,Remains calm in tense situations,34,5
Barack Obama,NPP,Prefers work that is routine,35,1
Barack Obama,NPP,"Is outgoing, sociable",36,5
Barack Obama,NPP,Is sometimes rude to others,37,1
Barack Obama,NPP,Makes plans and follows through with them,38,4
Barack Obama,NPP,Gets nervous easily,39,4
Barack Obama,NPP,"Likes to reflect, play with ideas",40,5
Barack Obama,NPP,Has few artistic interests,41,1
Barack Obama,NPP,Likes to cooperate with others,42,4
Barack Obama,NPP,Is easily distracted,43,1
Barack Obama,NPP,"Is sophisticated in art, music, or Literature",44,4
Nelson Mandela,NPP,Is talkative,1,1
